2025-05-12 08:21:25 | INFO | Add Position: 
2025-05-12 08:21:26 | INFO | Object Artikel destroyed
2025-05-12 08:21:26 | INFO | 581002 Quick-Tabs rot
2025-05-12 08:21:26 | INFO | Add Position: 
2025-05-12 08:21:26 | INFO | Object Artikel destroyed
2025-05-12 08:21:26 | INFO | Object Artikel destroyed
2025-05-12 08:21:26 | INFO | ERP connection closed successfully.
2025-05-12 08:21:26 | INFO | Object Vorgang destroyed
2025-05-12 08:21:26 | INFO | No ERP connection to close.
2025-05-12 08:27:01 | INFO | ERPConnectionEntity initialized with mandant %s
2025-05-12 08:27:06 | INFO | BpNT.Application dispatched successfully
2025-05-12 08:27:06 | INFO | Mandant set to %s
2025-05-12 08:27:08 | INFO | Try updating order 74739 with payment status: 10 and order status: 2
2025-05-12 08:27:08 | INFO | ERP connected: mandant=%s, user=%s
2025-05-12 08:27:09 | INFO | Creating new customer in ERP for bridge_customer id=%s
2025-05-12 08:27:09 | INFO | This AdrNr is reserved:
2025-05-12 08:27:10 | INFO | Object Anschriften destroyed
2025-05-12 08:27:10 | INFO | Object Ansprechpartner destroyed
2025-05-12 08:27:10 | INFO | New ERP customer created with AdrNr %s
2025-05-12 08:27:10 | INFO | Shopware set_customer_number response: %s
2025-05-12 08:27:10 | INFO | Object Adressen destroyed
2025-05-12 08:27:10 | INFO | Object Adressen destroyed
2025-05-12 08:27:10 | INFO | Object Anschriften destroyed
2025-05-12 08:27:11 | INFO | ERPOrderController initialized, last_sync_date=%s
2025-05-12 08:27:11 | INFO | Retrieving positions for order %s
2025-05-12 08:27:11 | INFO | Retrieved %d positions for order %s
2025-05-12 08:27:11 | INFO | looking for
2025-05-12 08:27:11 | INFO | 104522 Archivboxen weiß
2025-05-12 08:27:11 | INFO | Add Position: 
2025-05-12 08:27:11 | INFO | Object Artikel destroyed
2025-05-12 08:27:11 | INFO | 104016 Orga-Hartpappebox (FSC®), schwarz
2025-05-12 08:27:11 | INFO | Add Position: 
2025-05-12 08:27:11 | INFO | Object Artikel destroyed
2025-05-12 08:27:11 | INFO | Object Artikel destroyed
2025-05-12 08:27:11 | INFO | ERP connection closed successfully.
